date,open,high,low,close,volume
1/29/1993,25.0294,25.0294,24.9049,25.0116,1003200
2/1/1993,25.0294,25.1895,25.0294,25.1895,480500
2/2/1993,25.1717,25.2607,25.1184,25.2429,201300
2/3/1993,25.2785,25.5275,25.2607,25.5097,529400
2/4/1993,25.5987,25.6698,25.314,25.6165,531500
2/5/1993,25.5987,25.6521,25.4563,25.5987,492100
2/8/1993,25.5987,25.6876,25.5631,25.5987,596100
2/9/1993,25.5097,25.5097,25.3674,25.4208,122100
2/10/1993,25.4208,25.4742,25.3496,25.4563,379600
2/11/1993,25.4919,25.6876,25.4919,25.5809,19500
2/12/1993,25.5453,25.5453,25.3852,25.3852,42500
2/16/1993,25.314,25.314,24.7092,24.7448,374800
2/17/1993,24.7448,24.7804,24.638,24.727,210900
2/18/1993,25.0116,25.0116,24.3712,24.7092,378100
2/19/1993,24.7092,24.7982,24.6736,24.7982,34900
2/22/1993,24.8693,24.9227,24.7982,24.8871,513600
2/23/1993,24.9582,24.9761,24.7448,24.8693,373700
2/24/1993,24.8871,25.1895,24.8871,25.1895,26300
2/25/1993,25.1717,25.2607,25.1184,25.2429,44500
2/26/1993,25.2963,25.2963,25.154,25.2785,66200
3/1/1993,25.3674,25.3674,25.1717,25.2073,66500
3/2/1993,25.2251,25.5809,25.1895,25.5809,182400
3/3/1993,25.6165,25.7054,25.5809,25.6876,280100
3/4/1993,25.7232,25.7232,25.5453,25.5453,89500
3/5/1993,25.5809,25.6876,25.4563,25.4742,40000
3/8/1993,25.5275,26.0434,25.5275,26.0434,50800
3/9/1993,25.99,26.0078,25.9011,25.9544,169300
3/10/1993,25.9544,26.0078,25.8477,26.0078,194400
3/11/1993,26.0256,26.0968,25.9011,25.9367,70900
3/12/1993,25.7232,25.741,25.5097,25.6698,643600
3/15/1993,25.6521,25.7944,25.6521,25.7944,310800
3/16/1993,25.7944,25.8655,25.7944,25.7944,30800
3/17/1993,25.7588,25.7588,25.5987,25.6342,21800
3/18/1993,25.741,25.9011,25.741,25.7944,59300
3/19/1993,25.8985,25.8985,25.7555,25.7555,66900
3/22/1993,25.5053,25.6662,25.4874,25.6125,183400
3/23/1993,25.684,25.7019,25.6304,25.6662,55200
3/24/1993,25.6304,25.7734,25.5053,25.6662,37200
3/25/1993,25.684,25.8806,25.6483,25.827,110100
3/26/1993,25.8091,25.827,25.6662,25.684,101500
3/29/1993,25.7019,25.9164,25.7019,25.7912,87100
3/30/1993,25.827,25.8627,25.7912,25.8627,56000
3/31/1993,25.9342,26.0057,25.8449,25.8449,111600
4/1/1993,25.8806,25.8806,25.7019,25.7555,129500
4/2/1993,25.541,25.541,25.2193,25.2193,59400
4/5/1993,25.4159,25.4159,25.2729,25.3444,172200
4/6/1993,25.398,25.398,25.2014,25.2729,129700
4/7/1993,25.3087,25.3623,25.255,25.3623,28000
4/8/1993,25.4695,25.4695,25.2193,25.3265,180800
4/12/1993,25.5768,25.7019,25.541,25.684,348500
4/13/1993,25.6662,25.827,25.6483,25.7376,146100
4/14/1993,25.7555,25.7734,25.684,25.7019,119600
4/15/1993,25.684,25.7555,25.5947,25.7019,148600
4/16/1993,25.7197,25.7555,25.6662,25.7019,47900
4/19/1993,25.7019,25.7734,25.5768,25.5947,157000
4/20/1993,25.5589,25.5947,25.3087,25.4695,279500
4/21/1993,25.5232,25.5232,25.3802,25.4517,67900
4/22/1993,25.3444,25.5589,25.13,25.13,97700
4/23/1993,25.0763,25.1478,24.987,25.0227,106000
4/26/1993,25.0406,25.13,24.7546,24.8261,62600
4/27/1993,24.7903,25.0942,24.7903,25.0942,156800
4/28/1993,25.0585,25.112,25.0048,25.0406,85900
4/29/1993,25.0942,25.1478,24.9512,25.1478,85000
4/30/1993,25.2372,25.3265,25.1835,25.1835,88500
5/3/1993,25.2193,25.3444,25.112,25.3444,80500
5/4/1993,25.398,25.5232,25.3623,25.4338,149100
5/5/1993,25.4338,25.5947,25.4338,25.5053,109000
5/6/1993,25.4695,25.4874,25.398,25.4159,54700
5/7/1993,25.4338,25.4338,25.3265,25.3623,68000
5/10/1993,25.398,25.5589,25.398,25.4159,113900
5/11/1993,25.4159,25.5232,25.3444,25.5232,42600
5/12/1993,25.4159,25.5053,25.4159,25.4874,31000
5/13/1993,25.3802,25.3802,25.1657,25.1835,129100
5/14/1993,25.1835,25.255,25.1478,25.1657,63500
5/17/1993,25.2372,25.255,25.13,25.255,34000
5/18/1993,25.2729,25.2908,25.1478,25.2372,105200
5/19/1993,25.2372,25.7555,25.0763,25.7555,50200
5/20/1993,25.7555,25.827,25.7019,25.827,98200
5/21/1993,25.8449,25.8806,25.5768,25.5947,221400
5/24/1993,25.6483,25.7912,25.6483,25.7019,30500
5/25/1993,25.8091,25.8091,25.7555,25.7555,191800
5/26/1993,25.827,26.0951,25.8091,26.0772,102400
5/27/1993,26.113,26.113,25.9521,25.9879,53800
5/28/1993,25.97,25.97,25.7376,25.8627,79100
6/1/1993,25.9521,26.2024,25.9164,26.113,28300
6/2/1993,26.0415,26.1666,25.9342,26.0772,20300
6/3/1993,26.0236,26.0236,25.9342,25.9879,21600
6/4/1993,25.9164,25.9164,25.7912,25.8985,32000
6/7/1993,25.9521,25.9521,25.8091,25.8091,121400
6/8/1993,25.7376,25.7376,25.5768,25.5768,104500
6/9/1993,25.6662,25.7734,25.6304,25.6662,43300
6/10/1993,25.6483,25.7019,25.5947,25.684,17900
6/11/1993,25.7734,25.827,25.684,25.7912,647400
6/14/1993,25.827,25.8449,25.7555,25.7555,64200
6/15/1993,25.7912,25.8091,25.7019,25.7019,142400
6/16/1993,25.7019,25.7555,25.6304,25.7555,330900
6/17/1993,25.8091,25.8449,25.7555,25.8449,37400
6/18/1993,25.8315,25.8315,25.6336,25.6336,58500
6/21/1993,25.7056,25.7056,25.6515,25.6875,29300
6/22/1993,25.7235,25.7235,25.6696,25.7056,137500
6/23/1993,25.7056,25.7056,25.4715,25.4715,227600
6/24/1993,25.5435,25.8136,25.5435,25.8136,243700
6/25/1993,25.7955,25.8675,25.7776,25.7955,44800
6/28/1993,25.9216,26.0836,25.8856,26.0836,439900
6/29/1993,26.0475,26.0475,25.9216,25.9576,207500
6/30/1993,25.9936,26.0475,25.9216,25.9576,437600
7/1/1993,25.9936,25.9936,25.8496,25.8856,605700
7/2/1993,25.7955,25.8136,25.6515,25.7416,285400
7/6/1993,25.7056,25.7776,25.4355,25.4715,246400
7/7/1993,25.4535,25.5795,25.4535,25.5435,343700
7/8/1993,25.5615,25.8856,25.5255,25.8315,248200
7/9/1993,25.8315,25.9035,25.7776,25.9035,378200
7/12/1993,25.8675,25.9035,25.8315,25.8856,373700
7/13/1993,25.9035,25.9755,25.7235,25.8675,389600
7/14/1993,25.8856,26.0296,25.8675,25.9576,617300
7/15/1993,25.9395,25.9395,25.7955,25.8496,443800
7/16/1993,25.8675,25.8856,25.7416,25.7776,216400
7/19/1993,25.7776,25.7776,25.6875,25.7595,188200
7/20/1993,25.7416,25.8315,25.6155,25.8315,68500
7/21/1993,25.7955,25.8136,25.7235,25.8136,142700
7/22/1993,25.7776,25.8136,25.6336,25.6336,632400
7/23/1993,25.6875,25.7595,25.6696,25.7595,286200
7/26/1993,25.8315,25.9576,25.8315,25.9035,121300
7/27/1993,25.9216,25.9395,25.7955,25.8856,92800
7/28/1993,25.8315,25.8856,25.7955,25.8315,30800
7/29/1993,25.8856,26.0475,25.8496,25.9755,331000
7/30/1993,25.9755,25.9755,25.7955,25.8315,75300
8/2/1993,25.8675,25.9936,25.8675,25.9035,41300
8/3/1993,25.9576,26.0296,25.8315,25.9216,81600
8/4/1993,25.9216,25.9755,25.8496,25.9216,434000
8/5/1993,25.9216,25.9216,25.8315,25.8675,36800
8/6/1993,25.9395,25.9576,25.8675,25.9035,402300
8/9/1993,25.9755,26.1196,25.9216,26.0475,828200
8/10/1993,26.0296,26.0475,25.9936,26.0296,604900
8/11/1993,26.0115,26.1016,26.0115,26.0296,542200
8/12/1993,26.1016,26.1016,25.8675,25.9576,303700
8/13/1993,25.9755,26.0115,25.9755,25.9936,103500
8/16/1993,26.0115,26.2096,26.0115,26.1376,241800
8/17/1993,26.1196,26.2276,26.1196,26.2276,369300
8/18/1993,26.3176,26.4256,26.2996,26.3716,414300
8/19/1993,26.3896,26.3896,26.3356,26.3716,28500
8/20/1993,26.3176,26.3896,26.2996,26.3896,80700
8/23/1993,26.2816,26.3536,26.2816,26.3356,15600
8/24/1993,26.3356,26.6236,26.3356,26.6236,273400
8/25/1993,26.6236,26.7496,26.5876,26.6416,242300
8/26/1993,26.6596,26.8036,26.5516,26.6596,120000
8/27/1993,26.5876,26.6416,26.5876,26.6416,25700
8/30/1993,26.6596,26.7856,26.6596,26.7496,183500
8/31/1993,26.7316,26.8216,26.6956,26.8216,66500
9/1/1993,26.7316,26.8396,26.7316,26.7856,136500
9/2/1993,26.8036,26.8396,26.6776,26.6956,472400
9/3/1993,26.6776,26.7496,26.6416,26.7136,630500
9/7/1993,26.7136,26.7496,26.4976,26.5336,196400
9/8/1993,26.5336,26.5336,26.2636,26.4436,269900
9/9/1993,26.3356,26.5156,26.3356,26.4976,239200
9/10/1993,26.5696,26.7496,26.5336,26.7316,106500
9/13/1993,26.8216,26.8216,26.7496,26.7496,66900
9/14/1993,26.6776,26.6776,26.5516,26.6416,184500
9/15/1993,26.5336,26.7316,26.4436,26.7136,101000
9/16/1993,26.6776,26.6956,26.5876,26.6056,54300
9/17/1993,26.5906,26.6087,26.5181,26.5543,200900
9/20/1993,26.5906,26.6449,26.337,26.337,57800
9/21/1993,26.3732,26.4094,25.9747,26.2464,318200
9/22/1993,26.337,26.5,26.3008,26.4637,439700
9/23/1993,26.5362,26.6268,26.5,26.6087,88500
9/24/1993,26.5724,26.5906,26.5,26.5362,53500
9/27/1993,26.7355,26.826,26.7355,26.826,274600
9/28/1993,26.8442,26.8442,26.7536,26.7717,158300
9/29/1993,26.7717,26.8442,26.6449,26.6811,221000
9/30/1993,26.6811,26.7355,26.5724,26.6268,99300
10/1/1993,26.5906,26.7898,26.5543,26.7536,22700
10/4/1993,26.7898,26.7898,26.7173,26.7898,1038500
10/5/1993,26.8442,26.8442,26.663,26.7536,436500
10/6/1993,26.7717,26.8804,26.7355,26.7355,209200
10/7/1993,26.7717,26.7717,26.6449,26.663,59400
10/8/1993,26.7355,26.7536,26.5,26.6993,54400
10/11/1993,26.7536,26.8079,26.7536,26.7536,467100
10/12/1993,26.7898,26.8079,26.7717,26.7898,26200
10/13/1993,26.8079,26.8079,26.7536,26.7898,139100
10/14/1993,26.8985,27.134,26.826,27.134,108100
10/15/1993,27.2607,27.3332,27.1883,27.2789,1502500
10/18/1993,27.2607,27.2607,27.1702,27.2064,722400
