,buy price,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,sma_10,percentb,close price,win,win_loss
25,5.91,0.980533595,0.006513747,-9759.988871,0.089685142,0.005663002,0.312101983,49.21927548,58.77721415,63.38757994,-9.557938674,-4.610365788,-7.615,0.489607779,7.11,1.2000000000000002,1
26,5.19,0.62736773,0.030180979,-932.5317603,0.2448745,0.040603211,0.202167462,69.36080624,61.72002257,59.01665487,7.640783667,2.703367693,-7.615,1.163642955,6.24,1.0499999999999998,1
28,3.51,0.602478757,0.049503552,-1347.233127,0.18679639,0.023442792,0.16541791,81.82520521,74.06267648,69.28547087,7.762528726,4.777205611,0.206,0.9674081,4.34,0.8300000000000001,1
29,2.93,0.693386263,0.04898143,-1236.707484,0.187041252,0.024082419,0.151641232,66.56681855,63.07943761,60.81692425,3.487380939,2.262513363,0.206,0.937987943,3.62,0.69,1
30,3.02,0.735005776,0.043884431,-1284.960082,0.187075919,0.024275351,0.157530709,83.61794724,74.11199165,69.08987684,9.505955588,5.022114816,0.206,0.99301558,2.11,-0.9100000000000001,0
31,3.9,0.735005776,0.043884431,-1284.960082,0.187075919,0.024275351,0.157530709,74.7818783,65.17290603,62.41223673,9.608972278,2.7606693,1.057,1.196283482,4.25,0.3500000000000001,1
32,3.96,0.80274438,0.037992114,-1254.046187,0.187916171,0.024888443,0.153050021,58.86073004,55.21680774,53.43643161,3.643922299,1.780376136,2.389,0.569373698,4.83,0.8700000000000001,1
33,3.97,0.614594158,0.045683859,-1035.448016,0.212227832,0.030040851,0.156365759,67.72391747,63.85875328,60.28640815,3.865164184,3.572345135,2.389,0.926723267,2.71,-1.2600000000000002,0
40,4.2,0.87776899,0.021773934,-858.6306184,0.223014849,0.037829306,0.162180663,78.16955879,69.00959784,65.51007563,9.159960947,3.499522207,-1.238,1.297662058,3.79,-0.41000000000000014,0
50,6.69,0.317487771,0.024823153,-1779.576164,0.192921572,0.024198362,0.295715239,36.95379535,44.35072248,44.78024408,-7.396927129,-0.429521597,-3.216,0.380759093,8.04,1.3499999999999988,1
51,6.77,0.597107635,0.025082927,-1887.91619,0.191642106,0.025393303,0.315813624,63.4839119,58.61126807,55.39060437,4.872643831,3.220663705,-3.216,0.968130564,8.18,1.4100000000000001,1
52,5.46,0.690767943,0.025100031,-1713.054539,0.19258353,0.026406523,0.285151433,72.31981479,67.32163272,63.93566592,4.998182069,3.385966799,-3.216,1.130198714,6.65,1.1900000000000004,1
53,5.41,0.755245471,0.023200822,-1646.572317,0.192978973,0.02704945,0.273518245,84.9138328,72.42628428,67.14853188,12.48754852,5.277752397,-3.216,1.012381529,6.54,1.13,1
54,5.16,0.818712024,0.01951321,-1633.230774,0.193209445,0.027658891,0.270975896,71.38455454,65.97572831,64.20608727,5.408826232,1.769641041,-3.216,1.424494902,6.33,1.17,1
55,4.06,0.94500896,0.009248336,-2000.44802,0.172800259,0.023283008,0.265551184,70.26035829,64.47023156,62.41769434,5.790126731,2.052537212,-4.668,0.933300958,4.89,0.8300000000000001,1
56,4.36,0.961198227,0.007019813,-1982.03049,0.172664434,0.023618646,0.263311636,67.37074667,64.5195256,63.33879009,2.851221064,1.18073551,-4.668,1.024023353,5.45,1.0899999999999999,1
57,4.15,0.960470862,0.006431855,-2187.303479,0.172776213,0.023354788,0.290402252,76.80999374,68.62811592,65.85247985,8.181877813,2.775636071,-4.668,1.203912466,4.52,0.3699999999999992,1
61,6.13,0.722476387,0.027106937,-1511.74031,0.200015864,0.028123796,0.242276327,72.44247872,64.47601586,61.60483278,7.966462867,2.871183074,-1.54,1.143157633,7.36,1.2300000000000004,1
62,6.05,0.606707058,0.028015353,-1284.268992,0.221602973,0.033205447,0.244189611,71.24630861,62.60173694,59.64167813,8.644571668,2.960058808,-1.54,1.13602007,6.18,0.1299999999999999,1
70,6.45,0.82883586,0.018966316,-1619.233739,0.194177257,0.027938713,0.267313019,71.23092082,64.79891032,62.16742622,6.4320105,2.631484101,-1.969,1.273148433,5.91,-0.54,0
73,5.92,0.691941601,0.026084621,-1255.041489,0.212874467,0.032579059,0.24841659,74.15635954,67.27272496,64.16791166,6.88363458,3.104813309,-2.05,1.098147322,7.16,1.2400000000000002,1
74,5.38,0.753701714,0.023616905,-1236.800323,0.213143288,0.033280708,0.244493736,76.79361531,72.70764781,69.23998424,4.0859675,3.467663567,-2.05,1.019970858,5.44,0.0600000000000005,1
