,buy price,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,sma_10,percentb,clopen,op_current,cl_current,close price,win,win_loss
1,1.62,0.312524506,0.089172216,-698.4872137,0.164061544,0.019910639,0.096542589,80.18026362,67.65328065,62.70654352,12.52698298,4.946737125,2.601,1.202146791,0.997433528,0.99185419,0.989308624,1.96,0.34,1
2,2.09,0.574982071,0.092952856,-739.8161084,0.163964806,0.020975402,0.102321774,82.57669726,73.16008191,68.06280846,9.416615347,5.09727345,2.601,0.994915686,0.997433528,0.989989329,0.987448549,2.61,0.52,1
3,2.02,0.671704926,0.089344519,-708.9569046,0.164047687,0.021472905,0.097925368,74.80888182,66.40817036,64.00637772,8.400711462,2.401792638,2.601,1.167050067,0.997433528,0.987480359,0.984946019,2.52,0.5,1
4,2.53,0.751342095,0.080481159,-688.8083422,0.164005104,0.021918192,0.095106393,82.99616181,75.37074268,71.41435357,7.625419137,3.956389112,2.601,0.994562857,0.997433528,0.985307877,0.982779112,2.68,0.15,1
5,3.72,0.961941641,0.022378334,-5068.933551,0.082053834,0.005400776,0.176867373,71.07737023,68.48803989,67.03213703,2.589330341,1.455902854,1.555,0.915507548,0.999167108,0.991913679,0.991087523,4.55,0.83,1
6,3.64,0.66759513,0.047211893,-1333.892782,0.165950073,0.020975765,0.18323598,83.06219584,75.56607829,72.02046889,7.496117551,3.545609402,1.555,1.306170433,0.999167108,0.987931679,0.987108839,4.4,0.76,1
7,3.16,0.73248006,0.043592609,-1306.080501,0.16608086,0.021351295,0.179228022,73.396367,68.16626838,65.24867228,5.230098621,2.917596096,1.555,1.011889414,0.999167108,0.984641765,0.983821666,2.21,-0.95,0
8,3.37,0.565656061,0.083786756,-2308.642166,0.117234934,0.010312325,0.159161925,74.55468008,70.09599961,66.96821618,4.458680465,3.127783426,2.905,0.879275117,1.011551197,0.992424432,1.003888122,4.12,0.75,1
9,3.51,0.628671764,0.052698631,-683.461726,0.203338029,0.031932213,0.139869406,83.1242869,72.79395001,68.90667772,10.33033689,3.887272293,2.905,1.206742405,1.011551197,0.989099727,1.000525013,3.31,-0.2,0
10,4.82,0.724397538,0.034550439,-1194.481997,0.187954497,0.026864497,0.202279587,77.92346134,69.65680358,66.01131332,8.266657762,3.645490253,1.081,1.1313649,1.002960916,0.992457635,0.995396219,5.79,0.97,1
11,4.73,0.598479031,0.038060736,-962.5630115,0.207564424,0.031655721,0.193716341,68.71201689,66.85273732,64.83806169,1.859279571,2.014675629,1.081,0.883802461,1.002960916,0.99066243,0.993595698,5.73,1,1
12,4.15,0.693802185,0.035874946,-923.4214856,0.207934504,0.032647164,0.185381878,77.22496328,70.75366431,68.08135473,6.471298964,2.672309587,1.081,0.988537706,1.002960916,0.984860635,0.987776725,5.01,0.86,1
13,3.94,0.752124063,0.035104909,-849.6186471,0.208023441,0.033448262,0.170303462,58.4650886,62.36350666,62.59021049,-3.898418062,-0.226703831,1.081,0.764826234,1.002960916,0.982032736,0.984940452,2.74,-1.2,0
14,3.82,0.93952052,0.016112316,-906.0815925,0.188882603,0.03017581,0.152046568,79.17247384,71.95424878,67.4209161,7.218225056,4.533332677,1.08,1.059488432,0.990094237,0.992488937,0.982657577,2.66,-1.16,0
15,2.98,0.96590596,0.016140221,-801.430142,0.168313886,0.024708686,0.107791303,55.72378109,56.34628271,54.08227384,-0.622501621,2.264008867,2.802,0.695668677,1.011356467,0.992485911,1.003757044,3.64,0.66,1
16,3.01,0.987780481,0.007418596,-725.3061068,0.166975883,0.025577825,0.098142874,73.28800759,65.19474265,60.42215244,8.093264942,4.772590208,2.802,0.874670955,1.011356467,0.989958682,1.001201115,2.01,-1,0
17,4.16,0.987780481,0.007418596,-725.3061068,0.166975883,0.025577825,0.098142874,73.64534148,69.24815413,66.8376672,4.397187349,2.410486934,4.461,1.462453472,1.002421485,0.991223391,0.993623624,5.12,0.96,1
18,3.87,0.691733506,0.046673464,-716.952036,0.210052731,0.033540999,0.1419281,80.68848349,75.85949629,73.15854347,4.828987205,2.700952815,4.461,1.002948942,1.002421485,0.986654439,0.989043608,2.55,-1.32,0
19,4.17,0.641345088,0.051390466,-1939.377382,0.148279115,0.016009227,0.193989453,27.80921841,45.18049765,51.20118377,-17.37127924,-6.02068612,0.47,-0.074820738,1.006215268,0.99245283,0.99862119,2.82,-1.35,0
20,3.43,0.571006222,0.093677444,-529.9588858,0.192197526,0.027681997,0.086816435,72.19491337,63.99631622,60.62589452,8.198597145,3.370421706,1.84,1.085196743,1.011557728,0.992217427,1.003685206,2.32,-1.11,0
21,3.07,-0.546818644,0.054926082,-899.6145608,0.184923852,-0.029249338,0.157753161,80.61761125,70.84812127,67.02870668,9.769489977,3.819414592,-2.688,0.98298882,1.004529723,0.992097756,0.996591684,3.69,0.62,1
22,3.06,0.660900197,0.062843843,-729.5125733,0.184295436,0.0267146,0.125318146,79.71351998,70.56923804,67.54475646,9.144281948,3.024481578,-2.688,0.996103875,1.004529723,0.989549495,0.99403188,3.8,0.74,1
23,2.77,0.748564634,0.054352983,-731.9203738,0.184296117,0.027354414,0.12569802,88.6691876,78.40368328,72.95035452,10.26550432,5.453328754,-2.688,1.177755256,1.004529723,0.985825744,0.990291262,2.08,-0.69,0
