index,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,sma_10,percentb,clopen,op_current,cl_current,win_loss
0,0.980534,0.006514,-9759.988871,0.089685,0.005663,0.312102,49.219275,58.777214,63.387580,-9.557939,-4.610366,-7.615,0.489608,1.001791,0.992062,0.993838,1.0
1,0.627368,0.030181,-932.531760,0.244874,0.040603,0.202167,69.360806,61.720023,59.016655,7.640784,2.703368,-7.615,1.163643,1.001791,0.985040,0.986804,1.0
2,0.602479,0.049504,-1347.233127,0.186796,0.023443,0.165418,81.825205,74.062676,69.285471,7.762529,4.777206,0.206,0.967408,1.000246,0.992332,0.992577,1.0
3,0.693386,0.048981,-1236.707484,0.187041,0.024082,0.151641,66.566819,63.079438,60.816924,3.487381,2.262513,0.206,0.937988,1.000246,0.988816,0.989060,1.0
4,0.735006,0.043884,-1284.960082,0.187076,0.024275,0.157531,83.617947,74.111992,69.089877,9.505956,5.022115,0.206,0.993016,1.000246,0.986522,0.986765,0.0
5,0.735006,0.043884,-1284.960082,0.187076,0.024275,0.157531,74.781878,65.172906,62.412237,9.608972,2.760669,1.057,1.196283,1.000358,0.992343,0.992698,1.0
6,0.802744,0.037992,-1254.046187,0.187916,0.024888,0.153050,58.860730,55.216808,53.436432,3.643922,1.780376,2.389,0.569374,1.012469,0.990781,1.003135,1.0
7,0.614594,0.045684,-1035.448016,0.212228,0.030041,0.156366,67.723917,63.858753,60.286408,3.865164,3.572345,2.389,0.926723,1.012469,0.988116,1.000437,0.0
8,0.877769,0.021774,-858.630618,0.223015,0.037829,0.162181,78.169559,69.009598,65.510076,9.159961,3.499522,-1.238,1.297662,1.004277,0.992426,0.996671,0.0
9,0.317488,0.024823,-1779.576164,0.192922,0.024198,0.295715,36.953795,44.350722,44.780244,-7.396927,-0.429522,-3.216,0.380759,1.026218,0.991105,1.017090,1.0
10,0.597108,0.025083,-1887.916190,0.191642,0.025393,0.315814,63.483912,58.611268,55.390604,4.872644,3.220664,-3.216,0.968131,1.026218,0.984886,1.010707,1.0
11,0.690768,0.025100,-1713.054539,0.192584,0.026407,0.285151,72.319815,67.321633,63.935666,4.998182,3.385967,-3.216,1.130199,1.026218,0.977371,1.002995,1.0
12,0.755245,0.023201,-1646.572317,0.192979,0.027049,0.273518,84.913833,72.426284,67.148532,12.487549,5.277752,-3.216,1.012382,1.026218,0.971964,0.997447,1.0
13,0.818712,0.019513,-1633.230774,0.193209,0.027659,0.270976,71.384555,65.975728,64.206087,5.408826,1.769641,-3.216,1.424495,1.026218,0.965414,0.990726,1.0
14,0.945009,0.009248,-2000.448020,0.172800,0.023283,0.265551,70.260358,64.470232,62.417694,5.790127,2.052537,-4.668,0.933301,0.998182,0.991794,0.989991,1.0
15,0.961198,0.007020,-1982.030490,0.172664,0.023619,0.263312,67.370747,64.519526,63.338790,2.851221,1.180736,-4.668,1.024023,0.998182,0.987617,0.985821,1.0
16,0.960471,0.006432,-2187.303479,0.172776,0.023355,0.290402,76.809994,68.628116,65.852480,8.181878,2.775636,-4.668,1.203912,0.998182,0.983024,0.981237,1.0
17,0.722476,0.027107,-1511.740310,0.200016,0.028124,0.242276,72.442479,64.476016,61.604833,7.966463,2.871183,-1.540,1.143158,0.993944,0.992088,0.986080,1.0
18,0.606707,0.028015,-1284.268992,0.221603,0.033205,0.244190,71.246309,62.601737,59.641678,8.644572,2.960059,-1.540,1.136020,0.993944,0.986613,0.980637,1.0
19,0.828836,0.018966,-1619.233739,0.194177,0.027939,0.267313,71.230921,64.798910,62.167426,6.432010,2.631484,-1.969,1.273148,0.979850,0.991805,0.971820,0.0
20,0.691942,0.026085,-1255.041489,0.212874,0.032579,0.248417,74.156360,67.272725,64.167912,6.883635,3.104813,-2.050,1.098147,0.992101,0.992538,0.984698,1.0
21,0.753702,0.023617,-1236.800323,0.213143,0.033281,0.244494,76.793615,72.707648,69.239984,4.085967,3.467664,-2.050,1.019971,0.992101,0.987037,0.979241,1.0
22,0.917060,0.012428,-1470.415964,0.194551,0.029458,0.242267,55.959962,61.291191,63.354925,-5.331229,-2.063734,-3.731,0.673183,0.991162,0.991811,0.983046,0.0
23,0.716882,0.044032,-947.815265,0.202157,0.029443,0.150171,75.184905,67.821921,63.992731,7.362984,3.829190,-2.344,1.310638,1.004740,0.991482,0.996181,1.0
24,0.881289,0.032300,-751.099582,0.201554,0.031495,0.119312,78.449677,67.811513,62.780857,10.638164,5.030656,-2.344,1.138171,1.004740,0.985084,0.989753,0.0
25,0.844389,0.028347,-1438.537719,0.180807,0.023986,0.182413,73.958856,66.055308,61.982695,7.903549,4.072613,-0.608,0.995598,1.007239,0.992183,0.999366,1.0
26,0.907438,0.021749,-1294.936820,0.180545,0.024777,0.164423,72.007711,64.083452,61.069947,7.924259,3.013505,-0.608,1.081170,1.007239,0.988711,0.995868,1.0
27,0.915682,0.019322,-1356.875044,0.180531,0.024803,0.172308,79.093100,72.831584,68.822899,6.261517,4.008685,-0.608,0.935961,1.007239,0.986728,0.993871,1.0
28,0.923298,0.017791,-1369.894832,0.180483,0.024888,0.174009,59.072691,64.702210,65.107549,-5.629519,-0.405339,-0.608,0.783431,1.007239,0.985573,0.992708,0.0
29,0.831715,0.024665,-944.766763,0.224913,0.037123,0.176851,68.314784,62.321058,61.218137,5.993725,1.102922,1.771,0.993550,0.995988,0.992526,0.988544,0.0
30,0.955798,0.016834,-939.525992,0.182457,0.026387,0.117997,82.066865,72.133765,66.656323,9.933100,5.477442,5.830,1.085677,0.995223,0.992499,0.987759,1.0
31,0.801767,0.035637,-958.931552,0.206775,0.030920,0.148533,84.021045,74.800340,70.147324,9.220706,4.653016,1.385,1.064147,1.001121,0.992302,0.993415,0.0
32,0.736766,0.037634,-812.015846,0.222991,0.035927,0.153288,74.438291,68.820220,65.056969,5.618071,3.763251,-2.111,0.831804,1.000662,0.992432,0.993089,1.0
33,0.785142,0.033762,-807.264447,0.222929,0.036512,0.152429,66.036581,63.690914,62.604788,2.345667,1.086125,-2.111,0.919520,1.000662,0.989473,0.990128,1.0
34,0.645097,0.045077,-777.166250,0.225986,0.035576,0.144759,88.688802,77.841269,71.363406,10.847533,6.477863,-2.924,1.190698,0.999293,0.985010,0.984313,0.0
35,0.655815,0.030871,-1464.152420,0.194140,0.026840,0.241672,77.055015,66.463989,61.979839,10.591027,4.484150,-4.179,1.259717,0.995335,0.991674,0.987048,0.0
36,0.793907,0.017671,-1479.385457,0.206900,0.032012,0.301199,88.718407,74.824371,67.866558,13.894037,6.957813,-4.129,1.203606,1.000241,0.992087,0.992327,0.0
37,0.873992,0.014918,-1664.201088,0.189085,0.027541,0.282054,68.555355,61.504635,58.914074,7.050720,2.590561,-4.928,1.107934,0.998896,0.991650,0.990555,1.0
38,0.637349,0.026182,-1336.213836,0.213452,0.031995,0.263680,76.896300,68.966121,65.449602,7.930179,3.516519,-4.928,0.966403,0.998896,0.983740,0.982654,1.0
39,0.710242,0.024128,-1316.992848,0.213903,0.032767,0.259332,82.290361,73.273632,69.190368,9.016729,4.083264,-4.928,0.982208,0.998896,0.977305,0.976226,1.0
40,0.574813,0.033706,-2000.186861,0.170894,0.020491,0.268298,66.926193,62.089254,59.653658,4.836939,2.435596,-4.431,1.022689,1.007254,0.992391,0.999589,0.0
41,0.750734,0.023722,-1626.398343,0.183560,0.025592,0.283789,57.380756,56.993942,56.748775,0.386814,0.245167,-4.504,0.755134,1.002462,0.988651,0.991085,0.0
42,0.268053,0.024468,-1672.485444,0.183164,0.022722,0.292507,66.182760,58.872418,55.036035,7.310343,3.836383,-4.735,0.969834,1.006638,0.992041,0.998627,0.0
43,0.806814,0.025737,-1811.146684,0.163578,0.020833,0.253778,59.941170,64.165346,63.812216,-4.224176,0.353130,-4.153,0.777943,0.989109,0.989325,0.978550,1.0
44,0.510161,0.034260,-1438.193741,0.181572,0.024162,0.253676,80.772724,68.477761,62.531903,12.294963,5.945858,-2.245,1.218376,1.007430,0.992093,0.999464,0.0
45,0.769311,0.026197,-1077.495980,0.198380,0.031333,0.228543,69.723761,66.465707,65.231699,3.258054,1.234008,-2.296,0.880705,1.003286,0.990839,0.994094,1.0
46,0.642397,0.029332,-944.937388,0.217701,0.035855,0.230102,78.972945,70.636371,66.530905,8.336574,4.105466,-2.296,0.922630,1.003286,0.983122,0.986352,0.0
47,0.770107,0.026124,-1078.797916,0.201968,0.031957,0.224746,46.354969,57.256009,60.397871,-10.901040,-3.141862,-0.645,0.532683,0.996739,0.988593,0.985370,1.0
48,0.824459,0.022502,-1060.410152,0.202001,0.032650,0.220863,72.517827,65.007921,62.033694,7.509906,2.974227,-0.645,0.916805,0.996739,0.983545,0.980337,0.0
49,0.972604,0.006950,-1075.993668,0.182875,0.029835,0.188288,58.461701,62.676181,64.254452,-4.214480,-1.578270,-0.058,0.756510,0.992458,0.991430,0.983953,1.0
50,0.986702,0.003910,-1024.390904,0.181822,0.030664,0.180267,78.894940,72.125009,68.101309,6.769930,4.023701,-0.058,1.153211,0.992458,0.986998,0.979554,1.0
51,0.707481,0.035180,-1201.202644,0.189871,0.027011,0.202531,68.200901,62.935175,61.237265,5.265727,1.697910,2.638,1.075220,1.001467,0.992381,0.993837,1.0
52,0.776396,0.031437,-1164.531543,0.190003,0.027640,0.196193,79.722440,70.653949,66.802467,9.068492,3.851481,2.638,0.967838,1.001467,0.987899,0.989348,1.0
53,0.835438,0.027145,-1113.791991,0.189978,0.028298,0.187646,60.886739,58.776090,58.279461,2.110649,0.496629,2.638,0.855434,1.001467,0.983953,0.985397,1.0
54,0.539001,0.035710,-1047.123600,0.209253,0.031234,0.210550,81.224665,68.841628,62.492076,12.383037,6.349552,4.661,1.129666,1.008399,0.991478,0.999806,1.0
55,0.632473,0.036766,-962.562904,0.209875,0.032303,0.192929,80.787877,70.374395,66.043637,10.413481,4.330758,4.661,1.239339,1.008399,0.985758,0.994038,1.0
56,0.995367,0.002582,-7023.490895,0.075587,0.004969,0.266378,61.779463,64.906873,67.208692,-3.127411,-2.301819,-8.113,0.901258,0.983204,0.991447,0.974795,0.0
57,0.615881,0.038112,-1236.691559,0.174021,0.023963,0.227316,71.732630,67.645188,63.173356,4.087442,4.471832,-9.542,0.813904,1.011652,0.984153,0.995620,0.0
58,0.944014,0.012704,-1490.205628,0.155507,0.021339,0.219373,57.336690,65.263343,69.333601,-7.926653,-4.070258,-7.807,0.635355,0.990879,0.986682,0.977682,1.0
59,0.996601,0.005026,-2784.683825,0.077569,0.005476,0.102833,66.437804,61.526363,59.927780,4.911441,1.598583,0.452,1.049048,1.015097,0.992390,1.007372,1.0
60,0.635760,0.036051,-978.257308,0.192382,0.029395,0.213656,83.116459,76.084073,71.586088,7.032386,4.497985,0.452,0.971696,1.015097,0.987433,1.002340,1.0
61,0.819675,0.029533,-1087.114695,0.175985,0.025958,0.197478,76.944359,69.605980,66.267185,7.338379,3.338794,1.264,0.991574,1.000079,0.992400,0.992478,0.0
62,0.729407,0.039384,-1035.221846,0.179213,0.025832,0.184639,66.572978,63.903529,62.164605,2.669448,1.738925,3.069,0.969799,0.993133,0.992235,0.985421,0.0
63,0.850998,0.037423,-1063.799469,0.160257,0.021578,0.151815,66.005211,61.485110,59.987628,4.520101,1.497482,2.428,0.967623,1.004286,0.992441,0.996695,0.0
64,0.548237,0.043609,-1125.428473,0.175749,0.024036,0.204778,76.048516,64.832746,58.961490,11.215769,5.871257,0.476,0.978534,1.012684,0.992505,1.005094,1.0
65,0.593189,0.035395,-1030.372317,0.192607,0.028980,0.224821,63.151408,62.560299,60.269209,0.591109,2.291090,0.476,0.879754,1.012684,0.988825,1.001367,0.0
66,0.788648,0.028423,-946.931993,0.194822,0.031282,0.204158,80.906139,72.854016,69.550644,8.052124,3.303372,0.545,1.137004,0.989995,0.992220,0.982293,1.0
67,0.810169,0.025276,-995.008338,0.194821,0.031396,0.214559,74.572871,66.558976,62.781862,8.013895,3.777115,0.545,0.984754,0.989995,0.989104,0.979208,1.0
68,0.861802,0.021173,-961.265618,0.194709,0.032159,0.207360,86.305208,78.723655,73.945301,7.581553,4.778354,0.545,1.015243,0.989995,0.984372,0.974524,1.0
69,0.949578,0.011707,-1062.590475,0.177058,0.028061,0.191791,80.381375,75.198226,71.100621,5.183149,4.097605,0.859,0.927242,1.000816,0.992027,0.992837,0.0
70,0.654779,0.047798,-954.701805,0.183796,0.026172,0.165980,86.327047,74.787823,68.969084,11.539224,5.818739,1.102,1.096820,1.002285,0.992391,0.994658,1.0
71,0.801130,0.027904,-1221.538497,0.182049,0.026498,0.214565,71.163575,64.484562,61.702796,6.679013,2.781766,1.776,1.324965,0.990548,0.991134,0.981766,1.0
72,0.626762,0.036169,-984.146040,0.202611,0.031001,0.204059,74.090061,69.042370,66.423253,5.047690,2.619117,1.776,1.032510,0.990548,0.986254,0.976932,1.0
73,0.699401,0.033412,-975.591116,0.202875,0.031693,0.202000,73.820583,67.553735,65.393541,6.266848,2.160194,1.776,0.991523,0.990548,0.981251,0.971976,0.0
74,0.989769,0.004469,-1013.051531,0.163346,0.024702,0.141508,68.177136,65.991232,67.448638,2.185903,-1.457406,3.227,0.804440,0.996246,0.992428,0.988702,0.0
75,0.924179,0.032465,-755.124369,0.174065,0.024784,0.098793,69.787473,64.070543,61.792066,5.716931,2.278476,3.941,1.113968,0.995355,0.992543,0.987933,1.0
76,0.939666,0.027139,-755.289718,0.173837,0.025008,0.098937,75.433466,72.365203,69.294931,3.068263,3.070272,3.941,1.066430,0.995355,0.991307,0.986703,1.0
77,0.961800,0.019581,-723.192495,0.173294,0.025463,0.094984,70.002747,70.211720,69.140178,-0.208973,1.071542,3.941,0.942067,0.995355,0.989773,0.985175,1.0
78,0.748731,0.046403,-648.319915,0.218260,0.035721,0.124159,72.573100,69.029421,66.882976,3.543679,2.146445,2.903,1.110770,1.001728,0.992512,0.994227,0.0
