,buy price,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,close price,win,win_loss
0,2.91,-0.530547419,0.060184876,-624.7035389,0.241923602,-0.040980766,0.1089548,27.09476456,30.19081272,32.10360079,-3.096048154,-1.912788074,3.58,0.6699999999999999,1
1,2.88,-0.615437821,0.056376412,-641.3659313,0.241356453,-0.041891572,0.112123266,25.15784205,30.22544526,32.09624631,-5.06760322,-1.870801041,3.51,0.6299999999999999,1
2,2.62,-0.567624618,0.055444848,-670.602906,0.240613333,-0.041313945,0.117589904,29.83146544,32.68631805,33.66667742,-2.854852609,-0.980359376,3.25,0.6299999999999999,1
3,4.08,-0.992571254,0.004488337,-6569.1137,0.0956755,-0.007587776,0.196943888,55.13186273,44.5535879,40.0085486,10.57827483,4.545039297,4.94,0.8600000000000003,1
4,4.31,-0.516536273,0.034383344,-710.1982404,0.269010344,-0.05387734,0.171479389,30.68671897,34.81450759,34.80606078,-4.12778862,0.008446804,2.97,-1.3399999999999994,0
6,2.32,-0.041773284,0.012190673,-878.2410686,0.210984244,-0.027881644,0.133555253,8.014786969,19.04395664,26.75676898,-11.02916967,-7.712812336,2.79,0.4700000000000002,1
7,2.51,-0.491639572,0.053609023,-702.4513276,0.238421291,-0.040231818,0.124298789,23.46771351,29.89895641,32.13812968,-6.431242907,-2.239173268,1.73,-0.7799999999999998,0
8,3.95,-0.991757511,0.005510594,-5860.730151,0.09511386,-0.007462988,0.176745791,35.12044105,38.06081935,39.76219208,-2.940378293,-1.701372739,2.75,-1.2000000000000002,0
9,3.84,-0.513022423,0.048100244,-1028.347003,0.211717689,-0.033219275,0.15584189,26.7299421,29.94489505,32.42666142,-3.214952952,-2.481766375,4.74,0.9000000000000004,1
11,3.43,-0.926912891,0.01680887,-1439.604147,0.184101018,-0.029644614,0.179502934,26.53409461,36.54885557,39.93666507,-10.01476096,-3.3878095,4.27,0.8399999999999994,1
12,3.29,-0.531760939,0.042353155,-1625.431307,0.18303218,-0.026306303,0.2038366,27.41007027,33.93975042,37.46831874,-6.529680152,-3.528568315,3.99,0.7000000000000002,1
13,3.69,-0.500448619,0.039212783,-1758.140831,0.182187789,-0.026200413,0.221494373,15.06165525,25.07141377,30.68529728,-10.00975852,-5.613883507,2.57,-1.12,0
14,7.63,-0.91391582,0.021512636,-10124.01254,0.088968154,-0.007115074,0.326389848,34.44137037,42.19561304,42.87846617,-7.754242675,-0.682853127,9.23,1.6000000000000005,1
15,7.75,-0.530306434,0.01960677,-1504.431129,0.231840189,-0.046992004,0.344824525,26.66328618,33.81812199,37.28274378,-7.15483581,-3.464621795,9.48,1.7300000000000004,1
16,8.36,-0.51678238,0.018652589,-1580.694675,0.229962912,-0.046843794,0.365254597,31.98983544,35.65829687,37.45304272,-3.668461429,-1.794745851,5.75,-2.6099999999999994,0
18,6.25,-0.179708309,0.01624342,-1938.947742,0.196760416,-0.030123313,0.31608013,24.67312669,33.22724639,36.71444186,-8.554119698,-3.487195473,7.54,1.29,1
19,6.75,-0.554962932,0.023077706,-1605.76439,0.219118734,-0.040711611,0.309020515,22.54937061,29.68047253,32.94426428,-7.131101913,-3.263791756,8.25,1.5,1
20,7.04,-0.534846524,0.022774474,-1634.14295,0.217709343,-0.040355591,0.316514515,38.28650082,36.75826065,36.98533767,1.528240175,-0.227077026,8.96,1.9200000000000008,1
21,5.45,-0.369264783,0.024274677,-1898.975532,0.199431606,-0.03216442,0.305425515,26.56962423,29.94295003,34.00351145,-3.373325796,-4.060561426,6.59,1.1399999999999997,1
22,5.63,-0.418953852,0.02501842,-1912.580286,0.199022652,-0.032550418,0.308246208,29.06420772,30.71931866,32.81807646,-1.655110937,-2.098757802,6.85,1.2199999999999998,1
23,5.86,-0.480583616,0.026009761,-1882.731353,0.198571908,-0.03292629,0.304126904,26.85572398,31.32294968,33.35446917,-4.467225692,-2.031519498,4.07,-1.79,0
24,4.89,-0.501368004,0.033170648,-2072.79259,0.177935983,-0.026100334,0.267360648,36.65685616,45.52778844,47.38950294,-8.870932285,-1.861714497,3.26,-1.63,0
27,4.04,-0.315041216,0.043983366,-1391.116755,0.185298776,-0.025039932,0.172325684,16.79441214,25.25482016,30.33454812,-8.460408018,-5.07972796,4.91,0.8700000000000001,1
34,2.72,-0.887730834,0.027322341,-1216.233084,0.186150443,-0.028937037,0.149992339,31.59687613,38.57291107,40.87205901,-6.976034933,-2.299147946,3.54,0.8199999999999998,1
35,3.21,-0.505922216,0.045106937,-1530.84857,0.184958648,-0.026278029,0.189980187,13.78866899,23.81971481,29.34549755,-10.03104582,-5.525782745,4.48,1.2700000000000005,1
36,3.45,-0.523862337,0.039950593,-1724.31315,0.184204481,-0.026552651,0.214856833,21.2787156,23.60092648,26.88169273,-2.322210884,-3.280766242,4.41,0.96,1
37,3.86,-0.517891457,0.036266117,-1898.369032,0.183153287,-0.0266264,0.237895128,15.18722041,18.5760621,21.93832499,-3.388841697,-3.362262891,4.79,0.9300000000000002,1
38,4.6,-0.510562779,0.033364116,-2061.697796,0.182108137,-0.02668083,0.259839119,23.6984241,34.30594946,37.58073581,-10.60752536,-3.274786348,3.1,-1.4999999999999996,0
39,5.8,-0.594077375,0.066596274,-8047.330589,0.090776332,-0.006682942,0.254274506,32.4784267,38.87369701,40.926626,-6.39527031,-2.052928991,3.99,-1.8099999999999996,0
41,4.28,-0.741173636,0.031446192,-974.3607237,0.225128047,-0.041860554,0.182554023,37.2519244,35.36511378,34.8840188,1.886810618,0.481094978,5.18,0.8999999999999995,1
42,4.43,-0.528285018,0.033529331,-1117.975226,0.223016938,-0.03942748,0.211419372,30.09651488,34.15653812,35.27714377,-4.060023233,-1.120605657,4.89,0.45999999999999996,1
