,buy price,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,sma_10,percentb,clopen,op_current,cl_current,close price,win,win_loss
1,2.15,-0.363741281,0.053453761,-865.0442916,0.18560787,-0.028006403,0.151036591,16.96635076,30.2831712,36.93810115,-13.31682044,-6.654929945,2.489,-0.117016043,0.992254787,1.008208601,1.00039981,1.49,-0.66,0
2,2.56,-0.546692629,0.062279096,-795.2537138,0.191158663,-0.029941651,0.135142073,25.11044083,32.71721102,36.68838463,-7.606770195,-3.971173602,2.567,-0.028329902,1.004670183,1.007938928,1.012646187,4.07,1.51,1
3,2.19,-0.368905096,0.053741871,-864.8421667,0.190734418,-0.028768671,0.147073423,34.19218481,39.19073346,40.89203227,-4.998548645,-1.701298811,2.419,0.059700171,0.991453198,1.007565437,0.998953975,2.7,0.51,1
4,2.25,-0.432329987,0.056579043,-859.9572647,0.190577637,-0.02918599,0.146396842,12.6909907,24.19590686,30.39175445,-11.50491616,-6.19584759,2.419,-0.055250057,0.991453198,1.010404342,1.001768616,2.71,0.46,1
5,2.26,-0.491040099,0.057764113,-858.0991313,0.190377039,-0.029565672,0.1462603,37.08362311,40.70231762,41.82980942,-3.618694502,-1.127491806,2.419,-0.013126982,0.991453198,1.012937148,1.004279775,2.74,0.48,1
6,2.44,-0.510467889,0.057255946,-866.7648784,0.189819025,-0.02964043,0.148158545,21.52013655,31.82749302,35.79546511,-10.30735647,-3.967972087,2.419,-0.298449574,0.991453198,1.016267543,1.007581706,3.04,0.6,1
7,2.18,-0.534752643,0.057520941,-861.58111,0.189250188,-0.029718635,0.147730141,19.12036508,25.67489525,29.58429734,-6.554530177,-3.909402086,2.419,-0.106228939,0.991453198,1.019820751,1.011104545,1.51,-0.67,0
8,2.74,-0.986727427,0.009845506,-6872.766278,0.083621359,-0.00664219,0.236119656,27.96507809,33.36396689,35.65172066,-5.398888802,-2.287753766,-0.532,-0.123609375,1.009193408,1.007690963,1.016955078,3.3,0.56,1
9,2.86,-0.481247071,0.046358783,-810.1498717,0.203286553,-0.034839258,0.1700739,31.52285621,34.27374705,36.28806323,-2.750890835,-2.014316179,-0.532,0.10169943,1.009193408,1.011200762,1.020497143,4.25,1.39,1
10,2.57,-0.456660809,0.071383797,-964.0035377,0.16587209,-0.022767661,0.134712905,32.76093323,34.52449996,36.89836311,-1.763566728,-2.373863148,-1.583,0.072474937,0.992726548,1.00765543,1.000326297,3.18,0.61,1
