index,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,sma_10,percentb,clopen,op_current,cl_current,win_loss
0,-0.991758,0.005511,-5860.730151,0.095114,-0.007463,0.176746,35.120441,38.060819,39.762192,-2.940378,-1.701373,-29.656,0.049824,1.011845,1.007635,1.019570,0.0
1,-0.513022,0.048100,-1028.347003,0.211718,-0.033219,0.155842,26.729942,29.944895,32.426661,-3.214953,-2.481766,-30.680,0.140587,0.996355,1.007742,1.004069,1.0
2,-0.926913,0.016809,-1439.604147,0.184101,-0.029645,0.179503,26.534095,36.548856,39.936665,-10.014761,-3.387809,-4.702,-0.013059,1.003730,1.007675,1.011433,1.0
3,-0.531761,0.042353,-1625.431307,0.183032,-0.026306,0.203837,27.410070,33.939750,37.468319,-6.529680,-3.528568,-4.702,-0.051685,1.003730,1.011246,1.015018,1.0
4,-0.500449,0.039213,-1758.140831,0.182188,-0.026200,0.221494,15.061655,25.071414,30.685297,-10.009759,-5.613884,-4.702,-0.033570,1.003730,1.014196,1.017978,0.0
5,-0.913916,0.021513,-10124.012540,0.088968,-0.007115,0.326390,34.441370,42.195613,42.878466,-7.754243,-0.682853,-4.743,0.253637,1.015724,1.007853,1.023700,1.0
6,-0.530306,0.019607,-1504.431129,0.231840,-0.046992,0.344825,26.663286,33.818122,37.282744,-7.154836,-3.464622,-4.743,-0.089009,1.015724,1.014708,1.030662,1.0
7,-0.516782,0.018653,-1580.694675,0.229963,-0.046844,0.365255,31.989835,35.658297,37.453043,-3.668461,-1.794746,-4.743,0.049983,1.015724,1.020495,1.036541,0.0
8,-0.179708,0.016243,-1938.947742,0.196760,-0.030123,0.316080,24.673127,33.227246,36.714442,-8.554120,-3.487195,-5.621,-0.260818,0.985573,1.010522,0.995943,1.0
9,-0.554963,0.023078,-1605.764390,0.219119,-0.040712,0.309021,22.549371,29.680473,32.944264,-7.131102,-3.263792,-5.621,-0.011157,0.985573,1.019802,1.005089,1.0
10,-0.534847,0.022774,-1634.142950,0.217709,-0.040356,0.316515,38.286501,36.758261,36.985338,1.528240,-0.227077,-5.621,0.221078,0.985573,1.024948,1.010160,1.0
11,-0.369265,0.024275,-1898.975532,0.199432,-0.032164,0.305426,26.569624,29.942950,34.003511,-3.373326,-4.060561,-5.729,0.107505,0.988313,1.008359,0.996574,1.0
12,-0.418954,0.025018,-1912.580286,0.199023,-0.032550,0.308246,29.064208,30.719319,32.818076,-1.655111,-2.098758,-5.729,0.033517,0.988313,1.012971,1.001132,1.0
13,-0.480584,0.026010,-1882.731353,0.198572,-0.032926,0.304127,26.855724,31.322950,33.354469,-4.467226,-2.031519,-5.729,0.109718,0.988313,1.018689,1.006783,0.0
14,-0.501368,0.033171,-2072.792590,0.177936,-0.026100,0.267361,36.656856,45.527788,47.389503,-8.870932,-1.861714,-6.741,0.315870,0.995774,1.007655,1.003397,0.0
15,-0.315041,0.043983,-1391.116755,0.185299,-0.025040,0.172326,16.794412,25.254820,30.334548,-8.460408,-5.079728,-1.835,0.025861,1.013608,1.007638,1.021349,1.0
16,-0.887731,0.027322,-1216.233084,0.186150,-0.028937,0.149992,31.596876,38.572911,40.872059,-6.976035,-2.299148,4.063,0.044430,0.998800,1.007864,1.006654,1.0
17,-0.505922,0.045107,-1530.848570,0.184959,-0.026278,0.189980,13.788669,23.819715,29.345498,-10.031046,-5.525783,4.063,-0.134227,0.998800,1.011444,1.010230,1.0
18,-0.523862,0.039951,-1724.313150,0.184204,-0.026553,0.214857,21.278716,23.600926,26.881693,-2.322211,-3.280766,4.063,-0.020117,0.998800,1.014844,1.013626,1.0
19,-0.517891,0.036266,-1898.369032,0.183153,-0.026626,0.237895,15.187220,18.576062,21.938325,-3.388842,-3.362263,4.063,-0.012868,0.998800,1.019261,1.018037,1.0
20,-0.510563,0.033364,-2061.697796,0.182108,-0.026681,0.259839,23.698424,34.305949,37.580736,-10.607525,-3.274786,4.063,-0.089882,0.998800,1.023549,1.022320,0.0
21,-0.594077,0.066596,-8047.330589,0.090776,-0.006683,0.254275,32.478427,38.873697,40.926626,-6.395270,-2.052929,4.224,-0.016088,0.999002,1.007610,1.006605,0.0
22,-0.741174,0.031446,-974.360724,0.225128,-0.041861,0.182554,37.251924,35.365114,34.884019,1.886811,0.481095,-1.774,0.182839,1.006854,1.007747,1.014654,1.0
23,-0.528285,0.033529,-1117.975226,0.223017,-0.039427,0.211419,30.096515,34.156538,35.277144,-4.060023,-1.120606,-1.774,-0.151664,1.006854,1.012740,1.019681,1.0
24,-0.601686,0.036456,-1313.448165,0.202168,-0.033163,0.208423,19.054956,28.195190,32.846647,-9.140234,-4.651458,-1.760,-0.412368,0.998469,1.008316,1.006772,1.0
25,-0.529396,0.037385,-1317.828917,0.200833,-0.032379,0.210506,35.996296,38.923028,40.126064,-2.926732,-1.203036,-1.760,0.026591,0.998469,1.013100,1.011549,0.0
26,-0.686429,0.087278,-5639.526021,0.089394,-0.006450,0.180955,28.472810,34.157578,36.842784,-5.684768,-2.685206,-2.029,-0.024886,1.004186,1.007972,1.012191,1.0
27,-0.528435,0.029136,-1284.047354,0.216894,-0.038982,0.249661,13.065383,24.267617,29.623308,-11.202234,-5.355691,-2.029,-0.073138,1.004186,1.013191,1.017432,0.0
28,-0.427416,0.033314,-1451.024242,0.197956,-0.031449,0.235138,25.127808,32.847837,38.257472,-7.720029,-5.409635,-2.401,-0.089433,0.992583,1.011227,1.003727,1.0
29,-0.516193,0.029511,-1269.351356,0.214991,-0.038500,0.248989,42.216593,41.047556,40.753135,1.169038,0.294420,-2.401,0.211437,0.992583,1.022589,1.015004,1.0
30,-0.592921,0.028614,-1278.209855,0.220358,-0.040232,0.244624,23.939616,34.179844,38.965640,-10.240228,-4.785796,-4.081,-0.114150,1.001721,1.007652,1.009386,1.0
31,-0.542007,0.027006,-1380.552987,0.218520,-0.039708,0.266422,23.637129,29.564560,33.459057,-5.927431,-3.894497,-4.081,0.053075,1.001721,1.013250,1.014994,1.0
32,-0.418437,0.030624,-1569.341798,0.202049,-0.032218,0.249155,34.335978,37.016894,39.837447,-2.680915,-2.820553,-1.287,0.162279,0.993522,1.007601,1.001074,1.0
33,-0.481128,0.031029,-1584.086575,0.201595,-0.032691,0.252062,23.909481,28.845983,32.456859,-4.936502,-3.610876,-1.287,0.108920,0.993522,1.012264,1.005707,0.0
34,-0.684939,0.033204,-1856.308983,0.178618,-0.027008,0.238534,34.112859,38.741328,39.347074,-4.628469,-0.605746,-1.725,-0.038331,1.008028,1.008328,1.016423,0.0
35,-0.602510,0.068751,-7755.279351,0.088506,-0.006514,0.251333,40.097024,38.312685,39.482049,1.784339,-1.169364,-1.910,0.204988,1.001367,1.011911,1.013294,1.0
36,-0.546949,0.024643,-1198.780506,0.232499,-0.045909,0.274014,29.468600,34.029894,36.773668,-4.561294,-2.743773,-1.910,0.027626,1.001367,1.018418,1.019810,1.0
37,-0.543633,0.024894,-1187.707961,0.230915,-0.045538,0.273345,36.718338,38.563022,40.138856,-1.844685,-1.575834,-1.910,0.075930,1.001367,1.025301,1.026703,1.0
38,-0.579279,0.026062,-1410.917726,0.211794,-0.039135,0.280924,42.122268,43.144700,43.244776,-1.022432,-0.100076,-1.578,0.378016,0.998643,1.007919,1.006551,0.0
39,-0.578859,0.043256,-1567.087520,0.176968,-0.025697,0.203255,37.126173,41.138081,43.490800,-4.011908,-2.352719,-0.786,0.057134,0.992744,1.008234,1.000917,0.0
40,-0.922819,0.035299,-5710.738335,0.087288,-0.006586,0.187661,19.930883,29.018156,32.457329,-9.087273,-3.439173,0.264,-0.173425,0.996560,1.008204,1.004736,0.0
41,-0.027206,0.014548,-5885.054471,0.090414,-0.005898,0.186718,28.326550,33.058964,35.393818,-4.732414,-2.334854,0.309,0.065607,0.999438,1.008114,1.007548,0.0
42,0.955798,0.016834,-939.525992,0.182457,0.026387,0.117997,25.002696,29.767913,32.550754,-4.765217,-2.782840,7.153,-0.058515,1.002063,1.007657,1.009735,1.0
43,-0.587305,0.055227,-876.411137,0.211985,-0.033545,0.132756,23.695775,29.044749,32.637501,-5.348974,-3.592752,7.429,0.033984,1.001703,1.007835,1.009552,1.0
44,-0.746839,0.064546,-863.538604,0.187757,-0.027246,0.105680,33.228431,38.766737,39.965487,-5.538305,-1.198751,5.846,0.064006,0.996866,1.007606,1.004448,0.0
45,-0.746839,0.064546,-863.538604,0.187757,-0.027246,0.105680,28.102230,36.010692,39.015166,-7.908463,-3.004474,1.897,-0.195158,1.002546,1.007808,1.010374,1.0
46,-0.503516,0.053171,-708.281785,0.230146,-0.039047,0.129942,28.566553,32.658702,34.675393,-4.092150,-2.016691,1.897,-0.010446,1.002546,1.010647,1.013220,1.0
47,-0.805441,0.040658,-844.877784,0.207198,-0.034904,0.130951,21.014223,30.416801,35.103239,-9.402577,-4.686438,2.081,-0.074028,1.008091,1.007601,1.015753,0.0
48,-0.803611,0.143874,-2683.153281,0.092158,-0.006487,0.083540,28.754849,37.661380,41.237675,-8.906531,-3.576295,0.100,0.002708,1.006499,1.007568,1.014116,1.0
49,-0.540301,0.053810,-696.898598,0.224328,-0.038454,0.131169,25.471987,30.990068,33.262041,-5.518081,-2.271973,-0.684,0.023957,0.994169,1.007605,1.001731,1.0
50,-0.529330,0.040931,-727.936098,0.240939,-0.045074,0.160740,21.606202,30.691905,33.918146,-9.085702,-3.226241,-0.684,-0.132210,0.994169,1.012262,1.006360,1.0
51,-0.258049,0.047130,-843.611629,0.203559,-0.029656,0.133063,29.797121,37.463015,40.299187,-7.665894,-2.836172,-3.925,-0.108563,0.998873,1.007857,1.006722,0.0
52,-0.274561,0.056433,-1018.433395,0.184583,-0.024243,0.126734,20.086561,29.342209,33.630819,-9.255648,-4.288610,-2.671,-0.040658,0.990357,1.008025,0.998305,1.0
53,-0.473108,0.051881,-950.940381,0.206838,-0.032030,0.147605,32.665377,32.946781,34.336488,-0.281404,-1.389707,-2.671,0.082104,0.990357,1.010384,1.000641,1.0
54,-0.500749,0.050903,-971.989801,0.206224,-0.032199,0.151318,26.593003,34.253476,36.264123,-7.660472,-2.010648,-2.671,-0.268286,0.990357,1.013886,1.004109,1.0
55,-0.517680,0.050151,-985.919103,0.205656,-0.032277,0.153909,24.487677,30.353183,32.861397,-5.865506,-2.508214,-2.671,-0.027882,0.990357,1.016963,1.007157,0.0
56,-0.887806,0.029577,-1127.722825,0.180545,-0.027980,0.143479,29.965992,33.260456,33.882660,-3.294464,-0.622204,-1.808,0.184230,1.003137,1.008569,1.011733,1.0
57,-0.519350,0.054202,-1274.346804,0.179720,-0.025317,0.162841,19.851841,32.807756,36.943877,-12.955915,-4.136121,-1.808,-0.057357,1.003137,1.011887,1.015062,1.0
58,-0.519975,0.053298,-1295.722776,0.179277,-0.025292,0.165980,20.712889,27.425001,32.034852,-6.712112,-4.609851,-1.808,0.156800,1.003137,1.014284,1.017466,1.0
59,-0.532127,0.051764,-1331.577381,0.178766,-0.025341,0.171056,26.617910,34.892471,38.100279,-8.274561,-3.207807,-1.808,0.032909,1.003137,1.017235,1.020427,1.0
60,-0.487801,0.049648,-1390.235043,0.178055,-0.025084,0.179296,24.398001,34.594824,37.541777,-10.196824,-2.946953,-1.808,0.096092,1.003137,1.019946,1.023146,1.0
61,-0.499043,0.048389,-1427.136556,0.177549,-0.025130,0.184576,16.985042,25.169507,29.681193,-8.184465,-4.511686,-1.808,-0.075291,1.003137,1.022885,1.026094,0.0
62,-0.918006,0.032424,-6515.607282,0.087528,-0.006668,0.213541,29.614234,37.547005,40.357166,-7.932771,-2.810161,-1.478,-0.003412,1.008021,1.007749,1.015832,0.0
63,-0.367168,0.027583,-1273.527440,0.213022,-0.036671,0.252221,48.625337,44.860804,45.815477,3.764533,-0.954673,-3.119,0.347084,1.006625,1.007884,1.014561,1.0
64,-0.419984,0.028115,-1299.916738,0.212607,-0.037231,0.257949,32.033150,38.294750,40.534911,-6.261600,-2.240160,-3.119,0.018471,1.006625,1.012246,1.018952,1.0
