Date,Volume,dow,month,dom,yest_p_diff,ten,hike_prob,cut_prob,dollar,oil_price,oil_change,CPI,job_1,job_2,job_3,CNN,CNN_dif,y_lag_1,y_lag_2,y_lag_3,y_lag_4,y_lag_5,y_lag_6,tom_diff
2017-09-05,90176820.0,1.0,9.0,5.0,,2.063,0.0,0.0,92.22,462353.0,4580.0,1.94,,,,,,,,,,,,
2017-09-06,57577360.0,2.0,9.0,6.0,0.00024301336088683456,2.106,0.0,1.4,92.18,462353.0,4580.0,1.94,,,,,,,,,,,,
2017-09-07,57769340.0,3.0,9.0,7.0,-0.001539271674118936,2.042,0.0,1.4,91.46,462353.0,4580.0,1.94,,,,,,,,,,,,
2017-09-08,63733100.0,4.0,9.0,8.0,0.00016221916303038597,2.054,0.0,1.4,91.35,468241.0,5888.0,1.94,,,,,,,,,,,,
2017-09-11,71248670.0,0.0,9.0,11.0,0.004694835748523474,2.134,0.0,1.4,91.91,468241.0,5888.0,1.94,,,,,,,,,,,,
2017-09-12,56617170.0,1.0,9.0,12.0,0.0016796640120446682,2.167,0.0,1.4,91.89,468241.0,5888.0,1.94,,,,,,,,,,,,
2017-09-13,58999620.0,2.0,9.0,13.0,0.001798776793293655,2.194,0.0,1.4,92.4,468241.0,5888.0,1.94,,,,,,,,,,,,
2017-09-14,94415520.0,3.0,9.0,14.0,0.001159582519903779,2.187,0.0,1.4,91.99,468241.0,5888.0,1.94,,,,,,,,,,,,
2017-09-15,94195140.0,4.0,9.0,15.0,0.0020065009593963623,2.202,0.0,1.4,91.87,472832.0,4591.0,1.94,,,,,,,,,,,,
2017-09-18,46389770.0,0.0,9.0,18.0,0.0004404933424666524,2.225,0.0,1.4,91.97,472832.0,4591.0,1.94,,,,,,,,,,,,
2017-09-19,46977870.0,1.0,9.0,19.0,-0.0001200144033646211,2.246,1.4,0.0,91.84,472832.0,4591.0,1.94,,,,,,,,,,,,
2017-09-20,59451260.0,2.0,9.0,20.0,-3.99904020014219e-05,2.273,0.0,1.4,92.63,472832.0,4591.0,1.94,,,,,,,,,,,,
