Date,residuals,dow,month,dom,yest_volume,yest_p_diff,CNN-2,CNN-dif-2,y_lag_1,y_lag_2,y_lag_3,y_lag_4,y_lag_5,y_lag_6
2022-09-15,-8.16778743743896,3,9,15,103084800.0,0.0036829546633468614,42.0,5.0,-1.8796199798583757,-20.530079269409157,2.285757751464871,0.9509130477905501,-3.7051373672485397,-0.09667751312258588
2022-09-16,-6.2212519073486305,4,9,16,73278490.0,0.016188392742246868,41.0,-1.0,-8.16778743743896,-1.8796199798583757,-20.530079269409157,2.285757751464871,0.9509130477905501,-3.7051373672485397
2022-09-19,2.2052944183349723,0,9,19,77274880.0,-0.0025254497643782117,35.0,-6.0,-6.2212519073486305,-8.16778743743896,-1.8796199798583757,-20.530079269409157,2.285757751464871,0.9509130477905501
2022-09-20,-3.9731723403930914,1,9,20,106746600.0,-0.023106070643101374,36.0,1.0,2.2052944183349723,-6.2212519073486305,-8.16778743743896,-1.8796199798583757,-20.530079269409157,2.285757751464871
2022-09-21,-5.6571916198730605,2,9,21,89472640.0,-0.0063064507508950795,36.0,0.0,-3.9731723403930914,2.2052944183349723,-6.2212519073486305,-8.16778743743896,-1.8796199798583757,-20.530079269409157
2022-09-22,-3.954140930175754,3,9,22,122346900.0,-0.007147710286723728,27.0,-9.0,-5.6571916198730605,-3.9731723403930914,2.2052944183349723,-6.2212519073486305,-8.16778743743896,-1.8796199798583757
2022-09-23,-6.574333000183117,4,9,23,92581240.0,-0.005764321594246721,24.0,-3.0,-3.954140930175754,-5.6571916198730605,-3.9731723403930914,2.2052944183349723,-6.2212519073486305,-8.16778743743896
2022-09-26,-6.229873123168943,0,9,26,108294100.0,-0.012769002146513254,22.0,-2.0,-6.574333000183117,-3.954140930175754,-5.6571916198730605,-3.9731723403930914,2.2052944183349723,-6.2212519073486305
2022-09-27,-2.073132629394536,1,9,27,110802200.0,0.016597846328232472,18.0,-4.0,-6.229873123168943,-6.574333000183117,-3.954140930175754,-5.6571916198730605,-3.9731723403930914,2.2052944183349723
2022-09-28,5.448273925781223,2,9,28,112952300.0,-0.011080790539981757,17.0,-1.0,-2.073132629394536,-6.229873123168943,-6.574333000183117,-3.954140930175754,-5.6571916198730605,-3.9731723403930914
2022-09-29,-8.518627128601054,3,9,29,153711200.0,-0.01293465479590124,17.0,0.0,5.448273925781223,-2.073132629394536,-6.229873123168943,-6.574333000183117,-3.954140930175754,-5.6571916198730605
2022-09-30,-6.858345336914056,4,9,30,89756480.0,0.015084149368538854,13.0,-4.0,-8.518627128601054,5.448273925781223,-2.073132629394536,-6.229873123168943,-6.574333000183117,-3.954140930175754
2022-10-03,5.475232467651381,0,10,3,103602800.0,0.014736619308410852,16.0,3.0,-6.858345336914056,-8.518627128601054,5.448273925781223,-2.073132629394536,-6.229873123168943,-6.574333000183117
2022-10-04,8.720005722045926,1,10,4,88065670.0,0.009811981224641303,20.0,4.0,5.475232467651381,-6.858345336914056,-8.518627128601054,5.448273925781223,-2.073132629394536,-6.229873123168943
2022-10-05,-4.54739681243899,2,10,5,82333540.0,-0.006484458735262637,28.0,8.0,8.720005722045926,5.475232467651381,-6.858345336914056,-8.518627128601054,5.448273925781223,-2.073132629394536
2022-10-06,-6.423810768127453,3,10,6,107789500.0,-0.01703464814355414,30.0,2.0,-4.54739681243899,8.720005722045926,5.475232467651381,-6.858345336914056,-8.518627128601054,5.448273925781223
2022-10-07,-13.85169979095457,4,10,7,76042770.0,-0.010943836453530354,23.0,-7.0,-6.423810768127453,-4.54739681243899,8.720005722045926,5.475232467651381,-6.858345336914056,-8.518627128601054
2022-10-10,-6.762896041870135,0,10,10,92482790.0,-0.0013836864762117867,20.0,-3.0,-13.85169979095457,-6.423810768127453,-4.54739681243899,8.720005722045926,5.475232467651381,-6.858345336914056
